country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Afghanistan,0.014,0.011,0.009,0.004,0.004,0.003,0.000,0.002,-0.001,-0.002,-0.004,-0.010,-0.014,-0.006,-0.002,0.000,0.004,-0.006,-0.002,-0.003,-0.003,0.015,0.028,0.023,0.019,0.013,0.018,0.008,-0.007,-0.007,-0.013,-0.024,-0.040,-0.058,-0.066,-0.046,-0.050,-0.029,-0.016,-0.011,-0.007
Cambodia ,0.034,0.029,0.030,0.036,0.022,0.029,0.020,0.019,0.018,0.011,-0.004,-0.005,-0.016,0.009,-0.002,-0.017,-0.008,0.000,0.011,0.014,0.025,0.029,0.040,0.013,0.035,0.052,0.044,0.027,0.013,0.010,0.006,0.012,0.010,0.005,0.006,0.006,0.006,0.016,0.020,0.031,0.042
Laos,0.010,0.010,0.010,0.010,0.010,0.009,0.009,0.009,0.009,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.011,0.012,0.013,0.015,0.016,0.017,0.017,0.016,0.016,0.016,0.014,0.012,0.010,0.008,0.006,0.004,0.006,0.012,0.015,0.016,0.016,0.018,0.018,0.023,0.026
Mongolia ,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.030,0.032,0.035,0.035,0.035,0.035,0.038,0.036,0.035,0.032,0.023,0.006,-0.012,-0.019,-0.022,-0.020,-0.026,-0.024,-0.025,-0.026,-0.023
North Korea ,0.026,0.047,0.041,0.021,0.021,0.021,0.032,0.032,0.039,0.051,0.059,0.084,0.086,0.091,0.085,0.082,0.072,0.067,0.057,0.044,0.038,0.012,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.010,-0.011,-0.042,-0.061,-0.079,-0.084,-0.084,-0.083,-0.083
Vietnam,0.020,0.018,0.025,0.022,0.020,0.016,0.012,-0.006,-0.011,-0.007,-0.008,-0.007,-0.010,-0.005,-0.013,-0.021,-0.006,0.011,0.014,0.007,0.003,0.002,0.001,0.000,0.013,0.027,0.014,0.014,0.019,0.023,0.031,0.033,0.034,0.037,0.037,0.041,0.048,0.054,0.054,0.056,0.058
Bahrain ,0.031,0.028,0.026,0.024,0.024,0.023,0.024,0.024,0.025,0.027,0.029,0.033,0.037,0.039,0.041,0.021,0.028,0.027,0.023,0.015,0.015,0.008,0.005,0.004,0.000,0.011,0.000,-0.004,-0.003,0.000,-0.007,-0.006,-0.005,0.001,-0.002,0.003,0.006,0.009,0.011,0.013,0.019
Iran,0.023,0.031,0.033,0.043,0.050,0.062,0.063,0.060,0.064,0.068,0.069,0.073,0.087,0.085,0.086,0.079,0.086,0.073,0.044,0.021,-0.005,-0.021,-0.023,-0.020,-0.028,-0.031,-0.056,-0.056,-0.049,-0.036,-0.012,0.003,-0.006,-0.017,-0.016,-0.013,0.006,0.013,0.022,0.022,0.020
Iraq ,0.072,0.074,0.068,0.030,0.024,0.036,0.034,0.032,0.038,0.036,0.024,0.019,0.010,0.027,0.021,0.028,0.041,0.047,0.047,0.065,0.063,0.035,0.038,0.013,0.008,-0.009,-0.029,-0.027,-0.065,-0.092,-0.091,-0.154,-0.130,-0.122,-0.126,-0.133,-0.121,-0.128,-0.095,-0.079,-0.068
Israel ,0.052,0.047,0.057,0.068,0.058,0.054,0.048,0.045,0.055,0.055,0.057,0.057,0.061,0.056,0.054,0.049,0.050,0.047,0.037,0.031,0.031,0.027,0.019,0.019,0.014,0.014,0.018,0.025,0.023,0.018,0.018,0.018,0.021,0.020,0.025,0.026,0.026,0.021,0.022,0.024,0.027
