country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
Guatemala,GTM,0.005,0.008,0.009,0.015,0.018,0.021,0.019,0.019,0.024,0.025,0.029,0.031,0.036,0.034,0.037,0.034,0.035,0.039,0.035,0.034,0.032,0.027,0.016,0.006,0,-0.003,-0.01,-0.016,-0.019,-0.02,-0.021,-0.018,-0.009,-0.002,0.002,0.007,0.011,0.014,0.017,0.018,0.019
Guinea ,GIN,0.026,0.026,0.03,0.021,0.021,0.024,0.022,0.021,0.021,0.018,0.017,0.014,0.008,0.018,0.018,0.016,0.023,0.022,0.022,0.019,0.018,0.016,0.016,0.012,0.006,0.001,-0.008,-0.007,-0.004,-0.001,-0.003,-0.006,-0.006,-0.004,-0.001,0.003,0.006,0.009,0.009,0.008,0.009
Guinea Bissau ,GNB,0.056,0.057,0.057,0.055,0.046,0.058,0.052,0.052,0.053,0.057,0.057,0.046,0.046,0.042,0.036,0.03,0.022,0.007,0.014,0.01,-0.014,0.004,0.002,-0.008,-0.01,-0.008,-0.009,-0.004,-0.013,-0.015,0.006,-0.006,-0.012,-0.002,-0.003,-0.005,0.001,0.008,-0.029,-0.022,-0.016
Haïti,HTI,0.001,-0.005,-0.002,-0.006,-0.016,-0.011,-0.02,-0.017,-0.02,-0.013,-0.014,-0.003,-0.007,0.004,0.013,0.011,0.02,0.023,0.025,0.029,0.033,0.023,0.015,0.011,0.004,0.007,-0.002,-0.004,-0.009,-0.015,-0.023,-0.02,-0.032,-0.035,-0.044,-0.039,-0.035,-0.032,-0.03,-0.029,-0.027
Honduras,HND,0.006,0.003,0.004,0,0.01,0.015,0.013,0.013,0.016,0.014,0.011,0.012,0.01,0.011,0.02,0.014,0.019,0.024,0.028,0.032,0.029,0.027,0.021,0.016,0.006,0.008,-0.001,-0.006,-0.01,-0.011,-0.01,-0.009,-0.001,0.007,0.001,0.001,0.005,0.004,0.003,-0.002,0.003
Hong Kong,HKG,0.035,0.035,0.044,0.052,0.054,0.062,0.06,0.055,0.053,0.059,0.062,0.063,0.059,0.057,0.051,0.038,0.05,0.061,0.066,0.062,0.063,0.065,0.058,0.052,0.061,0.062,0.059,0.06,0.061,0.057,0.053,0.05,0.054,0.054,0.049,0.049,0.042,0.033,0.019,0.019,0.023
Hungary ,HUN,0.039,0.035,0.037,0.041,0.044,0.037,0.048,0.044,0.039,0.038,0.033,0.032,0.03,0.03,0.027,0.028,0.022,0.023,0.024,0.021,0.023,0.019,0.021,0.015,0.016,0.012,0.015,0.011,0.012,0.01,0.002,-0.011,-0.018,-0.017,-0.016,-0.013,-0.014,-0.013,-0.011,-0.006,0.005
India ,IND,0.02,0.02,0.019,0.017,0.02,0.013,0.008,0.017,0.012,0.017,0.014,0.012,0.01,0.009,0.003,0.015,0.016,0.015,0.018,0.006,0.008,0.013,0.017,0.02,0.023,0.019,0.022,0.018,0.023,0.036,0.034,0.029,0.032,0.03,0.033,0.036,0.04,0.041,0.037,0.038,0.037
Indonesia,IDN,0.022,0.019,0.013,0.004,0.002,0.004,0.001,-0.004,0.007,0.011,0.019,0.018,0.029,0.05,0.047,0.043,0.053,0.062,0.055,0.049,0.044,0.047,0.031,0.02,0.024,0.027,0.025,0.023,0.025,0.029,0.029,0.032,0.043,0.048,0.049,0.055,0.056,0.056,0.035,0.027,0.025
Iran,IRN,0.023,0.031,0.033,0.043,0.05,0.062,0.063,0.06,0.064,0.068,0.069,0.073,0.087,0.085,0.086,0.079,0.086,0.073,0.044,0.021,-0.005,-0.021,-0.023,-0.02,-0.028,-0.031,-0.056,-0.056,-0.049,-0.036,-0.012,0.003,-0.006,-0.017,-0.016,-0.013,0.006,0.013,0.022,0.022,0.02
Iraq ,IRQ,0.072,0.074,0.068,0.03,0.024,0.036,0.034,0.032,0.038,0.036,0.024,0.019,0.01,0.027,0.021,0.028,0.041,0.047,0.047,0.065,0.063,0.035,0.038,0.013,0.008,-0.009,-0.029,-0.027,-0.065,-0.092,-0.091,-0.154,-0.13,-0.122,-0.126,-0.133,-0.121,-0.128,-0.095,-0.079,-0.068
Ireland ,IRL,0.022,0.024,0.024,0.026,0.028,0.026,0.027,0.032,0.041,0.042,0.038,0.035,0.037,0.036,0.035,0.038,0.037,0.038,0.036,0.032,0.033,0.032,0.028,0.024,0.025,0.024,0.024,0.022,0.022,0.027,0.033,0.032,0.034,0.037,0.038,0.045,0.052,0.057,0.058,0.06,0.059
Israel ,ISR,0.052,0.047,0.057,0.068,0.058,0.054,0.048,0.045,0.055,0.055,0.057,0.057,0.061,0.056,0.054,0.049,0.05,0.047,0.037,0.031,0.031,0.027,0.019,0.019,0.014,0.014,0.018,0.025,0.023,0.018,0.018,0.018,0.021,0.02,0.025,0.026,0.026,0.021,0.022,0.024,0.027
Jamaica ,JAM,0.072,0.067,0.061,0.05,0.046,0.043,0.036,0.026,0.029,0.032,0.038,0.035,0.035,0.041,0.03,0.023,0.013,0.008,0.005,-0.004,-0.021,-0.018,-0.02,-0.025,-0.021,-0.024,-0.015,-0.005,-0.002,0.008,0.019,0.019,0.02,0.019,0.019,0.026,0.023,0.013,0.008,0.002,-0.003
Japan ,JPN,0.076,0.076,0.074,0.076,0.082,0.079,0.082,0.086,0.093,0.096,0.093,0.085,0.084,0.083,0.07,0.067,0.06,0.054,0.047,0.04,0.033,0.032,0.027,0.023,0.029,0.031,0.03,0.03,0.032,0.031,0.034,0.035,0.033,0.031,0.028,0.026,0.026,0.024,0.016,0.011,0.009
Jordan ,JOR,0.034,0.047,0.043,0.042,0.053,0.07,0.039,0.038,0.019,0.019,0.003,-0.013,-0.011,-0.01,-0.017,-0.021,-0.001,0.004,0.034,0.035,0.065,0.066,0.07,0.067,0.066,0.063,0.049,0.045,0.025,0.005,-0.017,-0.026,-0.022,-0.019,-0.021,-0.017,-0.022,-0.021,-0.016,0,0.01
Kenya,KEN,0.011,-0.012,0.005,0.012,0.01,0.003,0.01,0.011,0.017,0.02,0.023,0.032,0.031,0.031,0.026,0.024,0.015,0.018,0.019,0.016,0.014,0.009,0.01,0.005,0.002,0.007,0.01,0.007,0.005,0.007,0.006,0.006,-0.001,-0.001,0.001,0.002,0,-0.004,-0.006,-0.007,-0.01
Kuwait ,KWT,0,-0.013,-0.013,-0.021,-0.027,-0.031,-0.031,-0.033,-0.029,-0.034,0.006,0.017,0.014,0.005,-0.014,-0.026,-0.028,-0.031,-0.029,-0.017,-0.08,-0.104,-0.117,-0.103,-0.085,-0.077,-0.073,-0.072,-0.073,-0.077,-0.074,-0.023,-0.005,0.015,0.017,0.023,0.015,0.023,0.024,0.016,0.045
Laos,LAO,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012,0.013,0.015,0.016,0.017,0.017,0.016,0.016,0.016,0.014,0.012,0.01,0.008,0.006,0.004,0.006,0.012,0.015,0.016,0.016,0.018,0.018,0.023,0.026
Lebanon ,LBN,-0.002,0.016,0.013,0,-0.008,-0.006,0.002,-0.005,0.022,0.016,0.02,0.019,0.024,0.025,0.033,0.025,0.023,0.034,0.027,0.022,0.019,0.011,-0.001,-0.002,-0.01,-0.006,-0.013,-0.05,-0.061,-0.056,-0.058,-0.024,-0.014,-0.007,-0.002,0,0.007,0.046,0.058,0.056,0.058
Lesotho,LSO,0.026,0.021,0.033,0.038,0.041,0.039,0.034,0.04,0.035,0.034,0.028,0.016,0.019,0.032,0.03,0.019,0.035,0.041,0.056,0.047,0.052,0.063,0.048,0.015,0.017,0.029,0.015,0.004,0.001,0.019,0.016,0.019,0.021,0.034,0.026,0.035,0.043,0.043,0.029,0.022,0.022
Liberia,LBR,0.015,0.012,0.01,0.008,0.007,0.005,0.019,0.014,0.016,0.017,0.02,0.022,0.024,0.019,0.02,0.002,-0.011,-0.011,-0.011,-0.014,-0.025,-0.027,-0.033,-0.031,-0.039,-0.025,-0.026,-0.023,-0.027,-0.031,-0.009,0.008,0.011,0.013,0.02,0.027,0.026,0.019,0.012,0.009,-0.007
Libya ,LBY,0.079,0.077,0.099,0.13,0.169,0.17,0.166,0.173,0.195,0.199,0.174,0.156,0.109,0.076,0.021,0.003,0.007,0.006,-0.018,-0.018,-0.022,-0.037,-0.028,-0.029,-0.02,-0.033,-0.058,-0.069,-0.072,-0.082,-0.082,-0.067,-0.066,-0.068,-0.06,-0.052,-0.04,-0.031,-0.035,-0.034,-0.028
