"","AFG","AGO","ALB","ARE","ARG","AUS","BDI","BEN","BFA","BGD","BGR","BOL","BRA","CAF","CAN","CHE","CHL","CHN","CMR","COD","COG","COL","CRI","CUB","CZE","DEU","DNK","DZA","ECU","EGY","ESP","ETH","FIN","GAB","GBR","GHA","GIN","GMB","GNB","GNQ","GRC","GTM","HND","HUN","IDN","IND","IRL","IRN","IRQ","ISR","ITA","JPN","KEN","KHM","KOR","LAO","LBN","LBR","LKA","MAR","MDG","MEX","MLI","MMR","MNG","MOZ","MRT","MWI","MYS","NER","NGA","NIC","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","ROU","RUS","RWA","SAU","SDN","SEN","SLE","SLV","SOM","SWE","SYR","TCD","TGO","THA","TUN","TUR","TZA","UGA","USA","VEN","VNM","ZAF","ZMB","ZWE"
"GTM",NA,NA,NA,NA,31431,6867,NA,NA,NA,NA,10963,NA,73474,NA,190992,27659,35676,138286,NA,NA,NA,71176,NA,NA,2239,223922,10288,NA,20145,NA,104195,NA,31455,NA,68751,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HND",NA,NA,NA,NA,7002,2900,NA,NA,NA,NA,NA,NA,28272,NA,51314,29228,NA,57809,NA,NA,NA,36152,NA,NA,3975,121210,6996,NA,3790,NA,82011,NA,6629,NA,55223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HUN",NA,NA,NA,8087,40197,75638,NA,377,NA,10489,91658,NA,314471,NA,174007,787162,9640,1029814,NA,NA,NA,11295,3510,500,1152149,17952447,247171,23597,4959,30731,1160327,3564,499054,647,2061006,747,NA,NA,NA,NA,157747,836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IDN",6616,NA,NA,936261,190424,3363793,587,27097,4223,246078,40306,NA,524093,2133,1239365,305324,186303,6411994,7187,NA,NA,40149,7490,NA,69828,3551428,228040,55455,13779,208383,1362988,14335,270744,1996,2323700,23269,13052,NA,1235,NA,129882,NA,NA,132914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRL",1419,NA,NA,224904,118100,667295,NA,5527,1525,23127,36963,NA,363889,NA,1118796,2328233,63482,1210961,18002,NA,5052,54096,83906,2376,323801,13251245,1226739,28609,1187,232899,2867686,NA,677585,7077,30586350,43558,83859,NA,NA,NA,319509,8316,19247,540013,166618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRN",34176,NA,NA,1407980,201144,411848,NA,NA,NA,40856,21818,NA,488021,NA,730479,424568,1406,2375512,NA,NA,NA,710,NA,NA,44119,1904543,65045,NA,NA,27385,1219216,NA,97313,NA,468889,859,NA,NA,NA,NA,1173390,NA,NA,37969,258487,NA,19946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRQ",NA,NA,NA,NA,NA,78380,NA,NA,NA,NA,NA,NA,244739,NA,513110,NA,NA,973213,NA,NA,NA,NA,NA,NA,7097,152180,NA,27043,NA,NA,1240372,NA,NA,NA,NA,NA,NA,NA,NA,NA,312685,NA,NA,NA,112696,NA,NA,128631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISR",NA,NA,NA,NA,166096,390766,NA,NA,NA,NA,42558,3708,447459,NA,741445,2299979,63640,929406,4801,NA,NA,105166,14949,NA,106334,4509293,229514,NA,14318,672185,1209508,19415,328120,13064,4363041,4816,NA,NA,NA,NA,300004,12188,5412,126679,40759,NA,608218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITA",1859,79743,508055,1719742,1843680,3197197,2433,78850,34354,365443,1219292,44973,4650058,3944,4252215,14858275,1281760,9569497,759207,35034,117078,543569,150567,267015,2718695,75389930,3558703,5243256,230166,2437873,23411625,164309,3181787,62150,27999346,396776,22925,6252,11571,8833,5074888,103929,38318,3984027,1215660,NA,4528452,3068905,1927885,2690136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JPN",51332,26628,1030,17360730,1401022,24170631,2512,NA,12008,583359,85218,55955,6098906,4086,20081058,5630169,3537780,96604128,24394,27839,25372,787241,417859,59816,768697,37204702,2811073,289547,376978,883548,5770615,107700,2658113,41277,22413101,88531,15263,9264,6196,53580,1261495,263341,217655,2092283,21771841,NA,6164594,6016731,702907,2078103,11249605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KEN",NA,NA,NA,NA,41838,20912,NA,NA,NA,NA,NA,NA,9842,NA,21233,24964,490,131207,NA,NA,NA,NA,NA,NA,2308,190384,12835,NA,NA,NA,29187,NA,49008,NA,514186,NA,NA,NA,NA,NA,4822,NA,NA,1902,27721,NA,24127,4667,NA,47530,100252,150105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KHM",NA,NA,NA,NA,NA,2355,NA,NA,NA,NA,NA,NA,737,NA,16675,5744,NA,217080,NA,NA,NA,NA,NA,NA,NA,112207,NA,NA,NA,NA,11318,NA,3465,NA,86266,NA,NA,NA,NA,NA,4512,NA,NA,NA,49872,NA,13760,NA,NA,NA,16377,101324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOR",NA,669609,NA,6688279,679325,8879865,NA,NA,1435,642665,34103,11404,2464094,NA,5662146,1286229,1430764,36000753,16281,684,547000,272019,180686,NA,256904,9984747,836426,248282,374788,648438,2020467,21609,818780,179748,7739096,54676,62039,NA,NA,3652,1135382,504061,161158,625726,7358348,NA,2117822,3763023,531204,1067194,3711578,52269173,46001,95591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAO",NA,NA,NA,NA,NA,3337,NA,NA,NA,NA,NA,NA,NA,NA,1360,4641,NA,37151,NA,NA,NA,NA,NA,NA,751,24918,1437,82640,NA,NA,NA,NA,NA,NA,11651,NA,NA,NA,NA,NA,NA,NA,NA,NA,1669,NA,2612,NA,NA,NA,NA,31597,NA,NA,3924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBN",NA,NA,NA,NA,NA,22383,NA,NA,NA,NA,14869,NA,49010,NA,24939,213500,2415,163873,NA,NA,NA,NA,NA,NA,NA,411497,26814,13680,NA,NA,136753,NA,NA,NA,224485,NA,NA,NA,NA,NA,187195,NA,NA,16914,47993,NA,59052,19236,NA,NA,639014,123818,NA,NA,93362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2334,9278,9625,159456,NA,NA,NA,NA,NA,NA,1050,495818,3220,13720,NA,NA,7375,NA,NA,NA,24241,NA,NA,NA,NA,NA,49901,NA,NA,NA,3563,NA,NA,NA,NA,NA,89603,NA,NA,NA,1078989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LKA",NA,NA,NA,NA,9932,179107,NA,NA,NA,NA,3366,NA,13307,NA,121542,67569,30658,451253,NA,NA,NA,18058,NA,NA,28882,408756,21870,NA,2157,NA,51919,NA,10233,NA,856131,NA,NA,NA,NA,NA,4120,NA,NA,5149,183927,NA,31161,42697,NA,67613,128133,736613,NA,NA,431451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAR",NA,NA,NA,23510,103053,48811,NA,11642,7449,NA,31646,NA,258581,NA,287390,150209,10486,320937,15072,NA,14362,8316,7239,NA,20106,1040391,55085,194086,NA,53148,2015556,1620,133172,24483,1378286,5675,18945,NA,NA,2845,87234,NA,NA,17092,35911,NA,69270,398377,481769,8306,1050566,527386,1355,NA,142251,NA,10355,NA,3223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDG",NA,NA,NA,NA,6081,3314,NA,NA,NA,NA,NA,NA,NA,NA,3112,2036,277,72586,NA,NA,NA,NA,NA,NA,2010,75542,5208,NA,NA,NA,45915,NA,2877,NA,38728,NA,NA,NA,NA,NA,560,NA,NA,NA,66505,NA,NA,NA,NA,NA,51062,51084,NA,NA,NA,NA,NA,NA,NA,1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEX",NA,NA,NA,35554,803868,612624,NA,NA,NA,19007,32355,35815,2776277,NA,12352317,935425,1571824,3616920,NA,NA,NA,833391,475791,NA,56403,7498390,197755,281435,191108,11113,3206070,1175,272653,NA,2133417,327,NA,NA,NA,NA,43028,625386,213068,256887,553920,NA,544337,70432,NA,359176,2752818,9943920,2740,NA,4388537,NA,NA,NA,45955,98628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27997,NA,22251,777,NA,32901,NA,NA,NA,NA,NA,NA,3949,37279,NA,NA,NA,NA,16123,NA,NA,NA,31269,NA,NA,NA,NA,NA,1261,NA,NA,NA,8955,NA,3633,NA,NA,NA,29653,6234,NA,NA,8826,NA,NA,NA,NA,12888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MMR",NA,NA,NA,NA,NA,18191,NA,NA,NA,NA,NA,NA,NA,NA,NA,3180,NA,614706,NA,NA,NA,NA,NA,NA,671,121685,15667,NA,NA,NA,17807,NA,1979,NA,84133,NA,NA,NA,NA,NA,1855,NA,NA,NA,82012,NA,2392,NA,NA,NA,39521,309743,NA,NA,306884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3012,NA,316167,NA,NA,NA,NA,NA,NA,3040,28433,NA,NA,NA,NA,621,NA,NA,NA,16227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21053,34961,NA,NA,53186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5973,NA,8417,3371,NA,30397,NA,NA,NA,NA,NA,NA,NA,20674,NA,NA,NA,NA,59799,NA,NA,NA,30246,NA,NA,NA,NA,NA,NA,NA,NA,NA,8423,NA,NA,NA,NA,NA,27403,39024,NA,NA,6498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8726,NA,NA,NA,NA,27705,NA,NA,NA,NA,NA,NA,NA,38324,NA,12331,NA,NA,87904,NA,4206,NA,18852,NA,NA,NA,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,105730,93247,NA,NA,1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MWI",NA,NA,NA,NA,NA,3835,NA,NA,NA,NA,NA,NA,NA,NA,3991,6659,NA,NA,NA,NA,NA,NA,NA,NA,NA,53253,9789,NA,NA,NA,18676,NA,2672,NA,30414,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919,NA,851,NA,NA,NA,8666,62431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
