"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Libya",NA,449,NA,NA,2934,NA,NA,21577,NA,NA,NA,20325,66217,NA,NA,477,448,NA,NA,121546,NA,NA,NA,NA,NA,NA,57688,4738,NA,NA,NA,2321,NA,62319,NA,NA,NA,2090,56202,6143,NA,NA,828,NA,NA,2315,NA,28544,22920,2732,2043,NA,16598,NA,NA,NA,1173,NA,96766,NA,231,NA,NA,NA,NA,NA,NA,7538,5717,43783,NA,NA,297987,NA,NA,NA,554244,859,NA,50323,NA,NA,NA,NA,NA,NA,NA,281,5712,823,19851,3306,NA,7462,NA,28270,NA,949048,NA,164058,16644,NA,NA,NA,1074,203450,1988,NA,NA,NA,NA,23985,NA,NA,NA,NA,NA,12107,NA,63518,1322,NA,8336,NA,121406,NA,NA,NA,NA,146966,NA,NA,3705,863,NA,NA,4134,NA,3427,NA,4471,NA,NA,NA,789,432,18224,2232,NA,NA,9302,6634,NA,NA,2319,NA,NA,1127,13262,587,2017,NA,2396,122535,21830,NA,785,NA,4508,NA,72427,88327,17626,64262,NA,NA,NA,17602,NA,NA,186663,194872,NA,NA,356693,NA,8324,1056,NA,47242,NA,4263,4493,4208823,NA,22336,NA,3341
"Lithuania",NA,NA,NA,NA,NA,NA,NA,3472,NA,NA,NA,2471,23730,NA,NA,NA,NA,NA,NA,67080,NA,NA,NA,NA,NA,NA,15953,7734,NA,NA,NA,NA,NA,4382,NA,NA,NA,586,11314,281,NA,NA,1841,NA,NA,NA,NA,NA,NA,71369,NA,NA,140805,NA,NA,NA,18505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118702,NA,NA,NA,NA,96383,NA,NA,NA,617649,NA,NA,5964,NA,NA,NA,NA,NA,NA,NA,NA,54821,NA,2632,933,NA,345,NA,8243,2474,119637,NA,6522,NA,71832,NA,NA,NA,21514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,693,NA,NA,NA,NA,146,NA,5768,NA,NA,NA,NA,90809,NA,NA,21705,NA,NA,NA,29756,NA,NA,NA,1418,NA,NA,NA,2039,157,242872,5359,NA,NA,1178,1282379,NA,NA,257,NA,NA,NA,1379,18211,9717,NA,10285,31657,NA,NA,NA,NA,NA,NA,122959,27726,NA,NA,NA,NA,NA,1138,NA,NA,NA,20149,NA,NA,102833,NA,NA,NA,NA,54820,NA,321,NA,2898900,NA,NA,NA,NA
"Madagascar",NA,NA,NA,NA,NA,NA,NA,3535,NA,NA,NA,1572,593,NA,NA,NA,NA,NA,NA,15743,NA,NA,NA,NA,NA,NA,2369,NA,NA,NA,NA,NA,NA,489,NA,NA,NA,266,19018,3339,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,NA,1172,NA,NA,NA,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,207633,NA,NA,NA,18853,NA,NA,446,NA,NA,NA,NA,NA,NA,NA,NA,392,NA,3854,5681,NA,186,NA,1230,409,11678,NA,26706,NA,NA,NA,NA,NA,6252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6254,NA,NA,NA,NA,3892,NA,582,NA,NA,NA,NA,6202,NA,NA,583,NA,NA,1019,178,NA,236,NA,3990,NA,NA,NA,413,267,194,571,4623,NA,2094,369,NA,NA,284,NA,NA,NA,22535,137,108,NA,31532,5486,NA,NA,NA,NA,NA,NA,950,2484,NA,NA,NA,NA,NA,3038,NA,NA,268,1651,NA,NA,7961,NA,NA,NA,NA,24367,NA,NA,NA,442017,NA,NA,NA,NA
"Malawi",NA,NA,NA,NA,NA,NA,NA,2813,NA,NA,NA,415,2895,NA,NA,NA,NA,NA,NA,2672,NA,NA,NA,NA,NA,NA,1662,NA,NA,NA,NA,NA,NA,3067,NA,NA,NA,191,1664,349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2390,NA,NA,NA,NA,10167,NA,NA,NA,17512,NA,NA,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10061,255,NA,NA,NA,622,230,4378,NA,22199,NA,NA,NA,NA,NA,2476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6250,NA,NA,551,NA,NA,NA,791,NA,NA,NA,1811,NA,NA,NA,NA,154,NA,974,NA,NA,813,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,NA,204032,2119,NA,NA,NA,NA,NA,NA,808,927,NA,NA,NA,NA,NA,1828,NA,NA,NA,264,NA,NA,23359,NA,NA,NA,NA,17497,NA,NA,NA,321845,NA,NA,NA,NA
"Malaysia",424,NA,NA,425,4818,NA,NA,171174,NA,7724,NA,1591022,91073,816,857,27504,8947,794,2706,343687,482,1719,NA,6926,NA,NA,258978,7208,4786,233,NA,14412,4702,362386,NA,995,566,123794,1725605,1452922,493,NA,2001,752,6573,20108,4046,3459,4109,11049,7836,2783,103016,316,122,NA,2142,NA,6489,472,NA,788,2894,NA,NA,NA,21992,153810,74363,9609,2839,NA,1190524,1563,271,555,2450075,2637,NA,6248,123,NA,1815,1212,194,260,NA,4292,14599,601,513729,1235508,NA,46295,NA,401216,NA,713188,568,14839645,25440,1881,5873,2673,1751,2720675,32468,327,NA,309,14896,588,18519,7181,5969,975,442,NA,4240,19483,NA,460,55948,143,2420,2106,39970,NA,157,491164,NA,358,285082,NA,315,6562,59967,NA,52832,134,50347,16862,21672,2187,48366,811504,44743,25408,14878,585,17557,180568,1684,NA,293222,820,322,304,8821322,1850,1955,364,140394,131048,11517,NA,926,NA,599,114,474977,860277,1197,3240785,NA,14197,NA,2004539,6441,494,8918,80130,700,993,1701396,47222,90905,2464,362,10406061,1048,3068,165031,61591198,4866,3916,50262,7028
"Mali",NA,NA,NA,NA,183,NA,NA,NA,NA,NA,NA,766,3425,NA,NA,NA,NA,NA,NA,28573,NA,NA,NA,NA,NA,NA,2412,279,NA,NA,NA,NA,NA,5232,NA,NA,NA,101,15385,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,539,NA,NA,958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558,NA,NA,NA,NA,151161,NA,NA,NA,20196,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,196,NA,7304,2805,NA,156,NA,1022,894,11929,NA,9773,NA,300,NA,NA,NA,1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,NA,6199,NA,NA,NA,NA,12069,NA,NA,NA,NA,NA,2801,599,NA,325,NA,162,NA,NA,NA,967,153,318,288,130,NA,2380,1614,NA,NA,118,NA,NA,NA,1689,207,159,NA,11967,11828,NA,NA,NA,NA,NA,NA,1063,1190,NA,NA,NA,NA,NA,5187,NA,NA,811,1507,NA,NA,19695,NA,NA,NA,NA,20393,NA,NA,NA,354367,NA,NA,NA,NA
"Malta",NA,NA,NA,NA,20256,NA,NA,5366,NA,NA,NA,4271,8940,NA,NA,NA,NA,NA,NA,42569,NA,NA,NA,NA,NA,NA,8065,12588,NA,NA,NA,NA,NA,3408,NA,NA,NA,1158,21346,3212,NA,NA,3650,NA,NA,NA,NA,NA,NA,4343,NA,NA,25632,NA,NA,NA,735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6477,NA,NA,NA,NA,324622,NA,NA,NA,251035,NA,NA,96311,NA,NA,NA,NA,NA,NA,NA,NA,1818,NA,8683,1958,NA,1808,NA,21239,5945,852211,NA,80273,NA,1056,NA,NA,NA,80595,526,NA,NA,NA,NA,NA,NA,41221,NA,NA,NA,18823,NA,NA,NA,NA,804,NA,2343,NA,NA,NA,NA,61848,NA,NA,2978,NA,NA,1416,59266,NA,550,NA,1876,NA,NA,NA,349,1481,10739,6737,NA,NA,8455,65632,NA,NA,8542,NA,NA,NA,230696,386,1630,NA,3286,80047,NA,NA,NA,NA,NA,NA,9889,21309,NA,NA,NA,NA,NA,8344,NA,NA,2743,41184,NA,NA,314142,NA,NA,NA,NA,124554,NA,NA,NA,2927629,NA,NA,NA,NA
"Mauritania",NA,NA,NA,NA,24501,NA,NA,179,NA,NA,NA,892,2014,NA,NA,NA,NA,NA,NA,36808,NA,NA,NA,NA,NA,NA,2888,435,NA,NA,NA,NA,NA,12348,NA,NA,NA,NA,15485,161,NA,NA,1702,NA,NA,NA,NA,NA,NA,294,NA,NA,1734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,NA,NA,NA,NA,137198,NA,NA,NA,28252,NA,NA,1123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3395,9497,NA,NA,NA,1135,NA,19041,NA,17795,NA,NA,NA,NA,NA,856,NA,NA,NA,NA,NA,NA,NA,446,NA,NA,NA,1795,NA,NA,NA,NA,1557,NA,6589,NA,NA,NA,NA,16877,NA,NA,NA,NA,NA,NA,414,NA,282,NA,8088,NA,NA,NA,NA,NA,3717,1628,NA,NA,864,664,NA,NA,1457,NA,NA,NA,1552,NA,NA,NA,1194,36387,NA,NA,NA,NA,NA,NA,1289,454,NA,NA,NA,NA,NA,11768,NA,NA,652,919,NA,NA,8222,NA,NA,NA,NA,25139,NA,NA,NA,435136,NA,NA,NA,NA
"Mauritius",NA,NA,NA,NA,153,NA,NA,15276,NA,NA,NA,46134,2037,NA,NA,NA,NA,NA,NA,29722,NA,NA,NA,NA,NA,NA,4619,NA,NA,NA,NA,NA,NA,1588,NA,NA,NA,2397,39342,35531,NA,NA,103,NA,NA,NA,NA,NA,NA,2046,NA,NA,5014,NA,1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2094,NA,NA,NA,NA,292166,NA,NA,NA,70337,NA,NA,1994,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,118993,26525,NA,NA,NA,7494,3106,49513,NA,69705,NA,5280,NA,NA,NA,23201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28519,NA,NA,NA,NA,NA,NA,1636,NA,NA,NA,NA,8985,NA,NA,15253,NA,NA,NA,427,NA,211,NA,17319,NA,NA,NA,186,1888,NA,2456,NA,NA,1223,1287,NA,NA,811,NA,NA,NA,88313,106,NA,NA,178887,12524,NA,NA,NA,NA,NA,NA,2292,24816,NA,NA,NA,NA,NA,18011,NA,NA,NA,2264,NA,NA,90912,NA,NA,NA,NA,17255,NA,NA,NA,1313521,NA,NA,NA,NA
"Mexico",2210,NA,NA,762,75786,671,NA,244317,NA,141,NA,157598,126428,NA,8054,899,7463,297,186,319206,5691,922,12078,9989,272,NA,1044886,10827,855,NA,NA,378,8488,1874439,NA,739,1401,370870,1077489,308477,5410,NA,127327,796,68337,590,2912,31441,830,42476,19914,792,102910,NA,6189,NA,53295,NA,3263,16748,309,4081,1588,NA,NA,NA,275,95557,14862,5150,2168,NA,1250462,2733,465,NA,3615881,772,124,14358,NA,NA,73227,1864,1198,848,221,5939,37522,696,148503,230585,NA,12455,280,226703,102254,1254981,5334,4235617,288,18778,1161,1129,166523,1408307,NA,389,NA,743,104,122,1758,2688,3308,833,1968,552824,6818,9111,191,1116,NA,751,65737,1318,952,392,24309,283171,NA,154,134018,12974,NA,4452,44452,NA,304,1253,19441,105448,645,4816,138913,188837,43102,26084,337,NA,16850,112152,NA,NA,56944,862,NA,544,355862,NA,6274,NA,67603,1059301,28223,NA,3201,NA,3606,4367,440035,577603,1713,1191551,1324,680,1072,244903,4337,49973,1664,29639,1366,413,786428,54906,2764,47546,7258,72009743,4474,274611,18191,97843802,NA,3353,1232,2447
"Mongolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,4010,NA,NA,NA,NA,NA,NA,1341,NA,NA,NA,NA,NA,NA,NA,3347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66927,1516,NA,NA,NA,NA,NA,NA,NA,NA,NA,4687,NA,NA,1503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3108,NA,NA,NA,NA,4434,NA,NA,NA,27814,NA,NA,329,NA,NA,NA,NA,NA,NA,NA,NA,1248,NA,1021,1772,NA,NA,NA,NA,450,6673,NA,36922,NA,7798,NA,NA,NA,22156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1541,NA,NA,406,NA,NA,NA,945,NA,NA,NA,131,NA,NA,NA,NA,NA,2691,177,NA,NA,298,101737,NA,NA,418,NA,NA,NA,15707,328,NA,NA,170,249,NA,NA,NA,NA,NA,NA,904,1546,NA,NA,NA,NA,NA,1135,NA,NA,NA,879,NA,NA,2536,NA,NA,NA,NA,12225,NA,NA,NA,270435,NA,NA,NA,NA
"Morocco",403,NA,NA,900,109980,334,1810,79304,NA,NA,NA,14611,19521,NA,6253,1168,1994,NA,9164,182496,112,18472,941,1165,1528,NA,191232,12774,2049,NA,NA,NA,23276,152904,NA,970,2531,6813,172132,21212,NA,NA,8982,7669,3920,24790,6332,1363,3811,13972,21646,954,33900,NA,9782,NA,542,NA,20687,6346,931,1892,541,NA,NA,NA,NA,46349,145052,19402,220,NA,1999397,29998,NA,NA,502913,1242,650,13236,NA,113,8984,11189,NA,413,239,1403,12604,391,30666,27764,NA,154003,231092,20773,6569,506462,NA,162519,1854,3858,218,NA,NA,60194,21464,NA,NA,NA,852,5799,NA,68497,296,935,2049,16288,3218,318,304,612,8931,NA,NA,1780,927,NA,843,174936,NA,NA,23726,1192,644,61589,17567,NA,261,NA,4807,1721,375,1152,3220,1131,78500,61384,6281,5793,32702,183559,NA,NA,423471,810,NA,1095,15895,3281,1515,NA,46890,801950,1044,NA,NA,NA,394,NA,145291,91351,16422,44804,962,708,NA,9702,2816,5866,36272,70715,406,163,337158,65233,79804,5004,NA,574321,1385,3572,2569,8406616,512,24797,588,3185
"Mozambique",NA,NA,NA,NA,763,NA,NA,10751,NA,NA,NA,6022,792,NA,NA,NA,NA,NA,NA,8190,NA,NA,NA,NA,NA,NA,4117,300,NA,NA,NA,NA,NA,15805,NA,NA,NA,830,13431,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,NA,NA,6400,NA,NA,NA,310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198,NA,NA,NA,NA,38470,NA,NA,NA,16856,NA,NA,446,NA,NA,NA,NA,NA,NA,NA,NA,643,NA,20865,4327,NA,NA,NA,2014,NA,24599,NA,30120,NA,155,NA,NA,NA,3825,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5298,NA,NA,NA,NA,2547,NA,280,NA,NA,NA,NA,9420,NA,NA,1007,NA,NA,NA,4090,NA,NA,NA,NA,NA,NA,NA,NA,2355,168,43448,392,NA,847,1392,NA,NA,4493,NA,NA,NA,5828,NA,136,NA,464844,13934,NA,NA,NA,NA,NA,NA,5552,2692,NA,NA,NA,NA,NA,24065,NA,NA,167,1408,NA,NA,21244,NA,NA,NA,NA,56565,NA,NA,NA,816611,NA,NA,NA,NA
"Myanmar",NA,NA,NA,NA,NA,NA,NA,178,NA,NA,NA,7291,2236,NA,NA,NA,NA,NA,NA,5800,NA,NA,NA,NA,NA,NA,484,948,NA,NA,NA,NA,NA,1011,NA,NA,NA,435,420002,9463,NA,NA,NA,NA,NA,NA,NA,NA,NA,1532,NA,NA,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1706,NA,NA,NA,NA,22348,NA,NA,NA,35738,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,206,NA,24875,67051,NA,2004,NA,956,2962,14113,NA,148858,NA,NA,NA,NA,NA,109153,1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202686,NA,NA,NA,NA,344,NA,1878,NA,NA,NA,NA,8118,NA,NA,2205,NA,NA,NA,611,NA,115,NA,2933,NA,NA,NA,NA,3992,4010,153,1991,NA,6779,4304,NA,NA,847,NA,NA,NA,454243,2716,232,NA,263,566,NA,NA,NA,NA,NA,NA,2437,3346,NA,NA,NA,NA,NA,278277,NA,NA,1871,6575,NA,NA,16533,NA,NA,NA,NA,15249,NA,NA,NA,1875282,NA,NA,NA,NA
"Nepal",NA,NA,NA,NA,NA,NA,NA,1488,NA,NA,NA,3649,3228,NA,NA,NA,NA,NA,NA,4425,NA,NA,NA,NA,NA,NA,2296,NA,NA,NA,NA,NA,NA,2361,NA,NA,NA,449,71605,4505,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,NA,NA,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3076,NA,NA,NA,NA,9981,NA,NA,NA,13951,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,259,NA,120159,4610,NA,600,NA,1085,1086,5176,NA,49090,NA,NA,NA,NA,NA,13890,2554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4863,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,1480,NA,NA,26487,NA,NA,229,5646,NA,116,NA,2841,NA,NA,NA,216,877,513,419,604,NA,1076,12623,NA,NA,3294,NA,NA,NA,66816,647,NA,NA,212,826,NA,NA,NA,NA,NA,NA,1490,1828,NA,NA,NA,NA,NA,41696,NA,NA,NA,511,NA,NA,8110,NA,NA,NA,NA,9868,NA,NA,NA,480316,NA,NA,NA,NA
"Neth.Ant.Aru",NA,NA,NA,NA,NA,NA,NA,61760,NA,NA,NA,5737,5450,NA,NA,NA,NA,NA,NA,16186,NA,NA,NA,NA,NA,NA,74032,134,NA,NA,NA,NA,NA,22482,NA,NA,NA,2356,11036,2339,NA,NA,96564,NA,NA,NA,NA,NA,NA,358,NA,NA,5827,NA,4714,NA,15506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6985,NA,NA,NA,NA,40553,NA,NA,NA,36130,NA,NA,1107,NA,NA,NA,NA,NA,NA,NA,NA,342,NA,3889,21569,NA,NA,NA,2935,1050,135134,NA,62655,NA,NA,NA,NA,NA,7934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1432,NA,NA,NA,NA,269798,NA,481,NA,NA,NA,NA,202113,NA,NA,769,NA,NA,NA,18038,NA,NA,NA,323,NA,NA,NA,7381,10496,2773,732,NA,NA,162,36500,NA,NA,248,NA,NA,NA,5071,NA,NA,NA,2351,18199,NA,NA,NA,NA,NA,NA,6192,15409,NA,NA,NA,NA,NA,5998,NA,NA,1474,3088,NA,NA,101216,NA,NA,NA,NA,771295,NA,1204677,NA,3189550,NA,NA,NA,NA
"Netherlands",1222,NA,NA,1633,823491,28822,NA,616793,1932,2466,NA,409173,1171486,2008,5287,14012,151753,1444,47039,15887745,1905,962,22112,13062,5673,NA,1568295,80804,633,6599,NA,7002,165219,836868,NA,546,145,281786,2715526,1888836,40097,NA,227316,24577,117450,369135,57968,62533,16376,424819,285394,11087,1605817,1858,42054,NA,53299,NA,105957,15208,4140,138929,6930,NA,NA,821,2881,1454254,1083311,271036,583,3062,10184035,39747,610,5417,30173184,112627,332,256460,1155,376,47082,2262,1984,12767,865,20797,578380,80946,608472,1010567,NA,837790,574589,2006400,670003,4760508,68612,6095958,34869,17316,110042,5350,3170,1075152,919448,314,NA,9468,253743,5592,1733,45532,116882,10430,38966,1581992,642,15587,1051,32845,273352,1857,150440,3481,9726,3083,65575,NA,NA,2293,70604,6112,1303,426938,2913700,3289,7764,3275,170056,7228,24746,74402,93712,1107636,905979,866839,1272,4478,191980,1577340,8956,516,1987292,12393,8522,5209,1730924,147082,111939,NA,444755,3032040,99477,NA,4063,2856,8961,73995,3635525,2019778,19222,2230842,851,34644,40024,1232609,4549,15642,150854,739683,268,33620,13789417,80052,103736,40839,1605,13661580,2780,199581,144462,148398735,5028,36936,11089,86505
"Neutral Zone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4276,NA,NA,NA,16040,NA,NA,1714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,449,NA,NA,NA,NA,NA,NA,NA,NA,12640,NA,NA,NA,NA
"New Calednia",NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,100903,1406,NA,NA,NA,NA,NA,NA,17959,NA,NA,NA,NA,NA,NA,855,NA,NA,NA,NA,NA,NA,4109,NA,NA,NA,8430,1763,3396,NA,NA,839,NA,NA,NA,NA,NA,NA,NA,NA,NA,5156,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573,NA,NA,NA,NA,803927,NA,NA,NA,30605,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,7280,NA,NA,NA,1763,671,32305,NA,53810,NA,NA,NA,NA,NA,8941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,906,NA,NA,NA,NA,NA,NA,394,NA,NA,NA,NA,9308,NA,NA,85455,NA,NA,NA,1036,NA,NA,NA,207,NA,NA,NA,241,552,776,1319,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,57169,NA,346,NA,906,10445,NA,NA,NA,NA,NA,NA,1171,920,NA,NA,NA,NA,NA,3669,NA,NA,177,NA,NA,NA,18598,NA,NA,NA,NA,104682,NA,NA,NA,1357775,NA,NA,NA,NA
"New Zealand",126,NA,NA,NA,NA,NA,52846,22295,NA,20537,NA,2759697,38348,NA,672,3923,4054,148,208,93353,NA,NA,549,336,300,NA,38442,151,NA,NA,NA,320,243,198352,NA,NA,NA,12133,495812,102184,849,NA,2670,NA,224,109,239,3416,NA,3320,2832,NA,59300,NA,370,NA,25121,NA,2601,NA,NA,104,172,NA,NA,NA,46397,67642,1620,1538,NA,NA,226697,NA,NA,NA,529347,427,301,4113,4557,NA,452,NA,NA,502,NA,243,2057,1326,60151,105184,NA,11758,NA,41896,27497,270300,3901,1643362,5809,1510,1298,542,NA,221828,12744,NA,NA,NA,725,217,NA,NA,176,NA,1919,213437,NA,390,NA,327,28854,106,36219,NA,379,124,237,119776,NA,850,1076,484,NA,23067,37967,NA,32742,NA,25962,5587,25795,151,2861,25170,7251,12309,9145,NA,568,2818,NA,3100,240934,NA,175,NA,209059,711,2130,NA,31275,51404,6514,NA,NA,NA,173,NA,175590,116823,NA,300890,NA,520,NA,114918,NA,1087,3037,10960,NA,NA,635519,1640,100923,218,340,2187008,116,1824,14268,12010966,9858,432,379,2640
"Nicaragua",NA,NA,NA,NA,NA,NA,NA,2720,NA,NA,NA,414,878,NA,NA,NA,NA,NA,NA,4066,NA,NA,NA,NA,NA,NA,5516,NA,NA,NA,NA,NA,NA,7541,NA,NA,NA,1673,9996,983,NA,NA,9372,NA,NA,NA,NA,NA,NA,347,NA,NA,3315,NA,454,NA,8626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3238,NA,NA,NA,NA,9190,NA,NA,NA,12430,NA,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,641,1189,NA,NA,NA,1299,1956,7351,NA,50963,NA,1485,NA,NA,NA,23567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2371,NA,NA,NA,NA,42677,NA,202,NA,NA,NA,NA,5818,NA,NA,400,NA,NA,337,1770,NA,131,NA,633,NA,NA,NA,619,158,995,229,NA,NA,628,4447,NA,NA,NA,NA,NA,NA,1545,157,NA,NA,700,19930,NA,NA,NA,NA,NA,NA,2494,1976,NA,NA,NA,NA,NA,2383,NA,NA,NA,835,NA,NA,5862,NA,NA,NA,NA,225136,NA,62073,NA,519162,NA,NA,NA,NA
