"","Afghanistan","Afr.Other NS","Africa N.NES","Albania","Algeria","Angola","Areas NES","Argentina","Armenia","Asia NES","Asia West NS","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium-Lux","Belize","Benin","Bermuda","Bolivia","Bosnia Herzg","Br.Antr.Terr","Brazil","Bulgaria","Burkina Faso","Burundi","CACM NES","Cambodia","Cameroon","Canada","Carib. NES","Cent.Afr.Rep","Chad","Chile","China","China HK SAR","China MC SAR","China SC","Colombia","Congo","Costa Rica","Cote Divoire","Croatia","Cuba","Cyprus","Czech Rep","Czechoslovak","Dem.Rp.Congo","Denmark","Djibouti","Dominican Rp","E Europe NES","Ecuador","EEC NES","Egypt","El Salvador","Eq.Guinea","Estonia","Ethiopia","Eur. EFTA NS","Eur.Other NE","Falkland Is","Fiji","Finland","Fm USSR","Fm Yugoslav","Fr Ind O","Fr.Guiana","France,Monac","Gabon","Gambia","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Guadeloupe","Guatemala","Guinea","GuineaBissau","Guyana","Haiti","Honduras","Hungary","Iceland","India","Indonesia","Int Org","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea D P Rp","Korea Rep.","Kuwait","Kyrgyzstan","LAIA NES","Lao P.Dem.R","Latvia","Lebanon","Liberia","Libya","Lithuania","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Mongolia","Morocco","Mozambique","Myanmar","Nepal","Neth.Ant.Aru","Netherlands","Neutral Zone","New Calednia","New Zealand","Nicaragua","Niger","Nigeria","Norway","Occ.Pal.Terr","Oman","Oth.Oceania","Pakistan","Panama","Papua N.Guin","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Rep Moldova","Romania","Russian Fed","Rwanda","Samoa","Saudi Arabia","Senegal","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Somalia","South Africa","Spain","Sri Lanka","St.Helena","St.Kt-Nev-An","St.Pierre Mq","Sudan","Suriname","Sweden","Switz.Liecht","Syria","Taiwan","Tajikistan","Tanzania","TFYR Macedna","Thailand","Togo","Trinidad Tbg","Tunisia","Turkey","Turkmenistan","Uganda","UK","Ukraine","Untd Arab Em","Uruguay","US NES","USA","Uzbekistan","Venezuela","Viet Nam","World","Yemen","Yugoslavia","Zambia","Zimbabwe"
"Benin",NA,NA,NA,NA,1222,NA,NA,1200,NA,NA,NA,NA,7804,NA,NA,NA,NA,NA,NA,25986,NA,NA,NA,NA,NA,NA,52146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106651,1456,NA,NA,1279,NA,NA,NA,NA,NA,NA,1898,NA,NA,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170368,NA,NA,NA,31503,NA,NA,1847,NA,NA,NA,NA,NA,NA,NA,NA,349,NA,26903,13853,NA,NA,NA,2869,NA,39793,NA,15098,NA,NA,NA,NA,NA,28779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3423,NA,NA,NA,NA,1169,NA,20554,NA,NA,NA,NA,42790,NA,NA,NA,NA,NA,24116,NA,NA,NA,NA,5190,NA,NA,NA,NA,1961,1107,19679,NA,NA,1704,2711,NA,NA,NA,NA,NA,NA,10898,NA,620,NA,8037,25690,NA,NA,NA,NA,NA,NA,2409,6964,NA,NA,NA,NA,NA,62378,NA,NA,1565,4704,NA,NA,58371,NA,NA,NA,NA,43067,NA,NA,NA,845522,NA,NA,NA,NA
"Bermuda",NA,NA,NA,NA,NA,NA,NA,2427,NA,NA,NA,1935,NA,NA,NA,NA,NA,NA,NA,9670,NA,NA,NA,NA,NA,NA,40568,NA,NA,NA,NA,NA,NA,30906,NA,NA,NA,NA,4265,4603,NA,NA,592,NA,NA,NA,NA,NA,NA,447,NA,NA,12042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,NA,NA,NA,NA,51405,NA,NA,NA,38888,NA,NA,2261,NA,NA,NA,NA,NA,NA,NA,NA,545,NA,15668,3942,NA,NA,NA,3419,2793,66331,NA,90186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119100,NA,NA,NA,NA,NA,NA,29677,NA,NA,3413,NA,NA,6837,97559,NA,NA,NA,1514,NA,NA,NA,706,NA,24661,1588,NA,NA,8493,154989,NA,NA,NA,NA,NA,NA,24197,3110,NA,NA,1399,47591,NA,NA,NA,NA,NA,NA,27011,176608,NA,NA,NA,NA,NA,58252,NA,NA,NA,6626,NA,NA,115956,NA,NA,NA,NA,303242,NA,1513,NA,1578882,NA,NA,NA,NA
"Bolivia",NA,NA,NA,NA,NA,NA,NA,382114,NA,NA,NA,2019,5660,NA,NA,NA,NA,NA,NA,11555,NA,NA,NA,NA,NA,NA,510939,NA,NA,NA,NA,NA,NA,20391,NA,NA,NA,204210,7355,588,NA,NA,119420,NA,NA,NA,NA,NA,NA,1127,NA,NA,3959,NA,NA,NA,7650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3834,NA,NA,NA,NA,66890,NA,NA,NA,80832,NA,NA,476,NA,NA,NA,NA,NA,NA,NA,NA,506,NA,954,897,NA,NA,NA,2300,4836,42062,NA,73730,NA,NA,NA,NA,NA,17364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7477,NA,NA,NA,NA,28930,NA,1869,NA,NA,NA,NA,18653,NA,NA,2192,NA,NA,NA,2702,NA,NA,NA,399,NA,NA,NA,155430,1670,1368,903,NA,NA,1965,1985,NA,NA,NA,NA,NA,NA,10723,655,NA,NA,1179,37264,NA,NA,NA,NA,NA,NA,22463,7714,NA,NA,NA,NA,NA,1909,NA,NA,NA,NA,NA,NA,43759,NA,NA,NA,NA,466429,NA,16487,NA,2359778,NA,NA,NA,NA
"Bosnia Herzg",NA,NA,NA,NA,NA,NA,NA,546,NA,NA,NA,1946,70981,NA,NA,NA,NA,NA,NA,17360,NA,NA,NA,NA,NA,NA,NA,4845,NA,NA,NA,NA,NA,2983,NA,NA,NA,NA,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26047,NA,NA,13205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10105,NA,NA,NA,NA,34215,NA,NA,NA,232401,NA,NA,8723,NA,NA,NA,NA,NA,NA,NA,NA,81579,NA,NA,1088,NA,NA,NA,1844,2256,240911,NA,7247,NA,NA,NA,NA,NA,NA,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36322,NA,NA,644,NA,NA,NA,3271,NA,NA,NA,NA,NA,NA,NA,NA,1397,13561,7607,NA,NA,19680,37506,NA,NA,1018,NA,NA,NA,1045,10022,220197,NA,2620,10310,NA,NA,NA,NA,NA,NA,12496,9493,NA,NA,NA,NA,NA,NA,NA,NA,NA,19919,NA,NA,14883,NA,NA,NA,NA,49435,NA,NA,NA,1277397,NA,NA,NA,NA
"Br.Antr.Terr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",2896,NA,NA,1196,747475,126666,750634,10125098,409,NA,NA,546720,359613,3102,22542,56053,75305,10446,23979,1456766,1264,52146,40568,510939,NA,NA,NA,49139,4556,NA,NA,968,18446,1850735,NA,989,2923,1864178,1753877,851044,1811,NA,541609,21602,87394,48340,71471,69313,26122,118200,112489,6362,345550,3364,85046,NA,170171,NA,260912,29136,9331,12429,4705,NA,NA,NA,12369,376861,228581,72068,NA,NA,3228405,21267,9692,NA,7473831,42831,5788,177410,NA,34584,61651,35949,5598,5586,6242,25979,212299,8714,386291,445031,NA,767127,105034,215291,249028,4224493,146264,5696518,72092,21646,16397,1184,86818,1893301,319562,NA,NA,NA,53244,61311,48455,72322,16610,NA,3196,544977,20986,15950,5209,5254,1735870,NA,248620,6210,3841,2832,149298,2154578,NA,1082,77412,5620,1408,659671,334994,NA,15903,NA,98062,197239,NA,1353745,520394,254582,313654,578183,81261,NA,116426,932637,878,NA,1661356,20000,NA,11099,583188,31170,52961,NA,465676,1855521,35794,NA,33528,NA,4526,34498,841348,1028883,54106,1186330,NA,6885,1441,507453,17851,87931,64900,306907,2492,794,2559586,96065,167967,1425966,4805,20486469,67826,1306036,36548,94598800,164467,41888,1863,13903
"Bulgaria",8048,NA,NA,29183,41828,423,420814,24653,12145,NA,NA,13318,188737,10448,NA,NA,4718,NA,19898,196426,NA,NA,NA,NA,4845,NA,49139,NA,NA,NA,NA,NA,716,36212,NA,NA,NA,31734,84798,6244,NA,NA,7240,NA,3907,5271,11545,25156,16516,92959,122594,NA,53734,NA,NA,NA,3306,NA,61514,7454,NA,3407,1741,NA,NA,NA,NA,46671,NA,NA,NA,NA,359135,NA,1082,31028,1141338,4322,NA,588746,NA,NA,4414,1384,342,NA,NA,3041,58185,711,25862,32203,NA,61207,35652,12429,33223,778003,NA,73894,15577,11297,NA,NA,4073,50435,1778,1352,NA,NA,7089,20796,NA,20362,10544,NA,NA,12038,NA,12741,5054,NA,13459,NA,23433,935,1079,NA,1086,167102,NA,NA,791,NA,NA,7224,12369,NA,5526,NA,11854,10088,NA,NA,17297,9765,78402,23096,NA,58189,144980,1611943,NA,NA,18601,NA,NA,NA,16097,30049,44898,NA,13908,131060,3442,NA,1078,NA,6202,530,56470,85692,43954,34353,13676,4124,125080,32847,1897,NA,22994,426838,5491,360,235039,437247,7389,1285,NA,319625,12842,5937,15638,7751600,1646,167500,NA,NA
"Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045,NA,NA,NA,NA,NA,NA,12619,NA,NA,NA,NA,NA,NA,4556,NA,NA,NA,NA,NA,NA,3137,NA,NA,NA,NA,13271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075,NA,NA,3476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157946,NA,NA,NA,11197,NA,NA,859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8940,8020,NA,NA,NA,1655,NA,28713,NA,18399,NA,857,NA,NA,NA,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4966,NA,NA,NA,NA,NA,NA,2953,NA,NA,NA,NA,9779,NA,NA,NA,NA,NA,1080,NA,NA,NA,NA,260,NA,NA,NA,375,1940,1540,11179,NA,NA,547,2497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2530,11662,NA,NA,NA,NA,NA,NA,838,949,NA,NA,NA,NA,NA,13568,NA,NA,2116,1478,NA,NA,8525,NA,NA,NA,NA,15047,NA,73091,NA,401508,NA,NA,NA,NA
"Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2741,NA,NA,NA,NA,NA,NA,46837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011,NA,NA,NA,NA,3310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680,NA,NA,1715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1836,NA,NA,NA,NA,19492,NA,NA,NA,36562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2424,408,NA,1182,NA,826,NA,7407,NA,8252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9350,NA,NA,NA,NA,NA,NA,1995,NA,452,NA,4483,NA,NA,NA,NA,NA,1005,1609,NA,NA,4600,455,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,3829,3211,NA,NA,NA,NA,NA,NA,1320,3202,NA,NA,NA,NA,NA,1313,NA,NA,NA,848,NA,NA,6768,NA,NA,NA,NA,13169,NA,NA,NA,183069,NA,NA,NA,NA
"CACM NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13299,NA,NA,NA,NA
"Cambodia",NA,NA,NA,NA,4889,NA,NA,325,NA,NA,NA,10930,5228,NA,NA,NA,NA,NA,NA,7609,NA,NA,NA,NA,NA,NA,968,NA,NA,NA,NA,NA,NA,6352,NA,NA,NA,325,85246,24649,NA,NA,NA,NA,NA,NA,NA,NA,NA,4286,NA,NA,4750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5247,NA,NA,NA,NA,48405,NA,NA,NA,52999,NA,NA,2174,NA,NA,NA,NA,NA,NA,NA,NA,3085,NA,4718,50889,NA,NA,NA,6979,1465,10511,NA,89002,NA,NA,NA,NA,NA,72743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8858,NA,NA,1073,NA,NA,NA,2248,NA,NA,NA,2015,NA,NA,NA,NA,1672,2398,574,NA,NA,1835,4278,NA,NA,2064,NA,NA,NA,429133,644,NA,NA,NA,7333,NA,NA,NA,NA,NA,NA,6009,2459,NA,NA,NA,NA,NA,311817,NA,NA,NA,1452,NA,NA,38362,NA,NA,NA,NA,267763,NA,NA,NA,1469290,NA,NA,NA,NA
"Cameroon",NA,NA,NA,NA,5677,NA,NA,2421,NA,NA,NA,578,15570,NA,NA,NA,NA,NA,NA,121738,NA,NA,NA,NA,NA,NA,18446,716,NA,NA,NA,NA,NA,19702,NA,NA,NA,NA,61563,9825,NA,NA,NA,NA,NA,NA,NA,NA,NA,1708,NA,NA,4531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7231,NA,NA,NA,NA,839996,NA,NA,NA,173566,NA,NA,12594,NA,NA,NA,NA,NA,NA,NA,NA,3999,NA,9601,6404,NA,NA,NA,10536,5807,435862,NA,54395,NA,938,NA,NA,NA,40180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7834,NA,NA,NA,NA,8839,NA,27393,NA,NA,NA,NA,197726,NA,NA,375,NA,NA,167282,1367,NA,NA,NA,1905,NA,NA,NA,NA,NA,7308,52449,NA,NA,5082,1970,NA,NA,1879,NA,NA,NA,6760,744,985,NA,15777,320369,NA,NA,NA,NA,NA,NA,4947,10591,NA,NA,NA,NA,NA,27785,NA,NA,10257,13283,NA,NA,83568,NA,NA,NA,NA,147025,NA,1027,NA,2974556,NA,NA,NA,NA
"Canada",1929,NA,NA,1659,692153,33217,NA,367236,1233,3447,NA,1744236,692451,3916,37293,8113,134854,29547,3503,1476071,10299,NA,30906,20391,2983,NA,1850735,36212,3137,1011,NA,6352,19702,NA,NA,729,NA,552414,6163687,2050892,36740,NA,541496,5340,144627,41102,25658,393817,11571,142691,77126,29525,439235,NA,106201,NA,158643,NA,127697,42073,240,21352,18546,NA,NA,288,12481,466754,1488943,96988,649,NA,4354681,13515,NA,5006,6688151,40019,6553,140133,7013,NA,119207,16736,1200,119801,17168,42011,96564,52256,793896,1004434,NA,523659,154742,748883,415546,3612485,220073,17951438,11464,24356,27789,3381,8849,4317629,106168,7511,NA,2349,10952,31576,2306,NA,19836,5175,4519,1471258,13535,32792,12499,12412,6259265,NA,208762,18815,13895,5591,41567,1512884,NA,4833,432147,25223,6965,395738,2330356,NA,16294,NA,224631,41251,7721,7531,232325,720152,219149,251949,15416,3458,95789,629066,2677,806,751505,15441,1090,5601,1254031,49551,74586,NA,523610,1012635,74984,678,29502,20417,12522,26548,1144807,978921,24349,3699706,2413,12792,5426,1147995,32839,90423,50443,317869,623,9421,8699127,46512,129918,49310,7807,267869985,18302,874794,92709,364793223,23213,33724,18310,16545
"Carib. NES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cent.Afr.Rep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,318,NA,NA,NA,NA,NA,NA,115052,NA,NA,NA,NA,NA,NA,989,NA,NA,NA,NA,NA,NA,729,NA,NA,NA,NA,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1111,NA,NA,479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51729,NA,NA,NA,5787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1427,2279,NA,1395,NA,1612,900,8359,NA,7749,NA,NA,NA,NA,NA,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3981,NA,NA,NA,NA,2370,NA,1210,NA,NA,NA,NA,2464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1289,2405,NA,NA,1057,NA,NA,NA,1760,NA,NA,NA,NA,357,545,NA,852,13880,NA,NA,NA,NA,NA,NA,NA,982,NA,NA,NA,NA,NA,959,NA,NA,NA,NA,NA,NA,1004,NA,NA,NA,NA,4059,NA,NA,NA,235528,NA,NA,NA,NA
"Chad",NA,NA,NA,NA,3067,NA,NA,NA,NA,NA,NA,NA,2084,NA,NA,NA,NA,NA,NA,9873,NA,NA,NA,NA,NA,NA,2923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62447,NA,NA,NA,20201,NA,NA,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052,NA,NA,NA,1625,NA,3961,NA,6265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668,NA,NA,NA,NA,2281,NA,2772,NA,NA,NA,NA,2118,NA,NA,NA,NA,NA,3607,NA,NA,NA,NA,556,NA,NA,NA,NA,NA,1791,38017,NA,NA,NA,3009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3846,4542,NA,NA,NA,NA,NA,NA,1152,926,NA,NA,NA,NA,NA,5366,NA,NA,1797,963,NA,NA,4006,NA,NA,NA,NA,9158,NA,NA,NA,191881,NA,NA,NA,NA
"Chile",380,NA,NA,1123,8148,61266,361522,2031137,NA,377,NA,147523,62660,NA,2847,NA,3318,NA,NA,238944,1106,NA,NA,204210,NA,NA,1864178,31734,NA,NA,NA,325,NA,552414,NA,NA,NA,NA,910955,190048,NA,NA,323757,NA,35443,4101,2184,16128,1617,11862,11368,7150,98879,NA,16240,NA,301304,NA,10227,9121,24789,7014,NA,NA,NA,NA,NA,150953,37907,3305,NA,NA,1059562,76572,NA,NA,1463174,590,NA,40944,NA,NA,28058,NA,NA,703,NA,4667,6424,5139,89719,225285,NA,22156,NA,49562,48934,1008001,2506,3321545,NA,16439,427,4026,3943,1198198,10107,NA,NA,NA,12286,1046,15806,3747,982,464,327,198734,263,1996,NA,2981,909349,NA,7881,NA,NA,583,41456,370184,NA,8692,47875,8129,375,209770,78827,NA,22417,NA,26197,29145,4833,109686,355543,73568,24778,61657,2646,626,10470,88139,NA,NA,64631,NA,2094,NA,190141,2441,4002,NA,113373,783122,25048,NA,2459,NA,NA,NA,292878,153393,3597,880911,NA,NA,NA,143008,NA,10416,5775,40553,NA,NA,710416,20297,41007,92506,NA,5519112,NA,328686,10723,28378893,NA,10038,NA,1133
"China",29683,3680,NA,11398,183551,417995,727599,1110761,12339,33315,NA,5877958,1162496,4885,27363,40107,540549,NA,45518,2661853,1660,106651,4265,7355,1982,NA,1753877,84798,13271,3310,NA,85246,61563,6163687,NA,1922,4067,910955,NA,76781779,754823,NA,147772,72086,32207,94681,35675,296988,61974,445581,256040,27209,1121586,NA,37340,NA,72497,NA,441408,30907,112195,18076,33689,NA,NA,NA,16320,1325356,3864249,98348,2835,472,8300252,166305,53048,4021,17994382,73006,5383,439260,2521,NA,62319,40043,3292,6187,NA,32367,320875,9698,1307353,3548866,NA,885361,175536,527190,315387,6561507,36080,59606610,133263,511385,82008,10579,573960,17995482,283452,129426,NA,30044,15734,109791,63510,102937,16393,21859,2285,4009638,33957,28275,17483,49855,1270615,187242,213811,24592,538223,75337,11420,3534360,NA,2766,858121,10222,7538,279618,926628,NA,950346,3098,731920,658783,112649,67078,555728,1137016,755353,244089,128129,2284,274986,6156097,3212,NA,1638813,32739,630,NA,7295284,112073,73650,1665,1133530,3059156,212654,NA,35746,NA,216289,3885,1974230,1828399,140377,17480296,12423,72243,5505,3615963,81466,12002,83593,736862,10436,9382,5613300,500939,1637957,156838,2868,71038249,99809,78472,973020,369554895,488073,52013,27256,83890
"China HK SAR",NA,2628,NA,NA,4213,575,103810,345340,NA,8680,NA,2589891,440238,559,2770,53521,163280,327,11894,1758044,707,1456,4603,588,NA,NA,851044,6244,NA,NA,NA,24649,9825,2050892,NA,NA,NA,190048,76781779,NA,343318,NA,48306,2007,22664,2588,1752,3690,11331,142629,45056,1150,509443,1803,4254,NA,18554,NA,36997,3329,NA,2153,598,NA,NA,NA,9820,517188,78272,13849,NA,NA,3020763,16017,4062,NA,6268169,3265,2979,87611,NA,NA,9095,4945,NA,1237,747,4948,61355,2240,2021144,1645995,NA,22980,NA,393443,1083626,3175698,9394,26146244,7941,4193,19626,3112,66290,9379478,46009,NA,NA,1426,8448,9101,NA,6407,7174,7475,690,4804400,982,9763,756,44623,469750,2204,24423,15601,58629,5204,2835,3387362,NA,12785,456533,1257,NA,73281,268352,NA,98560,NA,615676,70406,25412,23719,47331,2246355,118809,70844,14017,15291,32697,400989,1684,880,292421,7253,433,NA,11192549,19163,17563,NA,1281992,681928,122708,NA,NA,NA,3949,1319,1252941,2828872,11206,15666819,NA,14539,NA,3258204,1707,2053,13786,268254,1765,6082,10066524,14512,603321,56952,53802,23733205,8397,106338,256112,225788813,5676,6093,6541,9110
"China MC SAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15238,14869,NA,NA,NA,NA,NA,NA,14473,NA,NA,NA,NA,NA,NA,1811,NA,NA,NA,NA,NA,NA,36740,NA,NA,NA,NA,754823,343318,NA,NA,NA,NA,NA,NA,NA,NA,NA,5155,NA,NA,28993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6689,NA,NA,NA,NA,193216,NA,NA,NA,283391,NA,NA,1823,NA,NA,NA,NA,NA,NA,NA,NA,945,NA,NA,8570,NA,NA,NA,6487,749,33420,NA,116685,NA,NA,NA,NA,NA,46537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4307,NA,NA,NA,NA,9580,NA,NA,NA,NA,NA,NA,41863,NA,NA,2089,NA,NA,NA,7016,NA,NA,NA,1146,NA,NA,NA,NA,2747,2075,24306,NA,NA,NA,NA,NA,NA,896,NA,NA,NA,31085,NA,428,NA,3339,29215,NA,NA,NA,NA,NA,NA,11792,9615,NA,NA,NA,NA,NA,7631,NA,NA,NA,2302,NA,NA,101945,NA,NA,NA,NA,973598,NA,NA,NA,3191304,NA,NA,NA,NA
"China SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
